Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Microsoft.Quantum.Canon.RobustPhaseEstimation..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Canon.RobustPhaseEstimation.get_DiscretePhaseEstimationIteration",2,0,0.00,0.00,
"Microsoft.Quantum.Canon.RobustPhaseEstimation.get_M",2,0,0.00,0.00,
"Microsoft.Quantum.Canon.RobustPhaseEstimation.get_MicrosoftQuantumExtensionsMathPI",3,0,0.00,0.00,
"Microsoft.Quantum.Canon.RobustPhaseEstimation.get_Reset",3,0,0.00,0.00,
"Microsoft.Quantum.Canon.WithA`1[System.__Canon]..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Extensions.Convert.Native+ToDouble..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Extensions.Math.Native+AbsI..ctor",2,0,0.00,0.00,
"Microsoft.Quantum.Extensions.Math.Native+ArcTan2..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Extensions.Math.Native+Ceiling..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Extensions.Math.Native+Cos..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Extensions.Math.Native+MaxI.get_Body",1,0,0.00,0.00,
"Microsoft.Quantum.Extensions.Math.Native+PI..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Extensions.Math.Native+Sin.get_Body",1,0,0.00,0.00,
"Microsoft.Quantum.Extensions.Math.Native+Sin+<>c..cctor",1,0,0.00,0.00,
"Microsoft.Quantum.Extensions.Testing.AssertAllZeroTol..ctor",2,0,0.00,0.00,
"Microsoft.Quantum.Extensions.Testing.AssertQubitTol..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Primitive.Reset.get_X",2,0,0.00,0.00,
"Microsoft.Quantum.Primitive.RFrac..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Primitive.RFrac.get_AdjointBody",3,0,0.00,0.00,
"Microsoft.Quantum.Primitive.Rz..ctor",2,0,0.00,0.00,
"Microsoft.Quantum.Primitive.Rz.<get_Body>b__7_0",58,0,0.02,0.00,
"Microsoft.Quantum.Primitive.Rz.get_R",1,0,0.00,0.00,
"Microsoft.Quantum.Primitive.SWAP.<get_ControlledBody>b__11_0",875,0,0.23,0.00,
"Microsoft.Quantum.Primitive.SWAP.get_Body",7,0,0.00,0.00,
"Microsoft.Quantum.Samples.IntegerFactorization.EstimatePeriod..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Samples.IntegerFactorization.EstimatePeriod.<get_Body>b__43_0","1,49,829",0,39.25,0.00,
"Microsoft.Quantum.Samples.IntegerFactorization.EstimatePeriod.get_MicrosoftQuantumCanonInPlaceXorLE",1,0,0.00,0.00,
"Microsoft.Quantum.Samples.IntegerFactorization.OrderFindingOracle..ctor",2,0,0.00,0.00,
"Microsoft.Quantum.Samples.IntegerFactorization.OrderFindingOracle.get_MicrosoftQuantumCanonExpMod",1,0,0.00,0.00,
"Microsoft.Quantum.Samples.IntegerFactorization.OrderFindingOracle.get_MicrosoftQuantumCanonIsCoprime",2,0,0.00,0.00,
"Microsoft.Quantum.Samples.IntegerFactorization.OrderFindingOracle.get_MicrosoftQuantumCanonModularMultiplyByConstantLE",1,0,0.00,0.00,
"Microsoft.Quantum.Samples.IntegerFactorization.Program.Main",66,0,0.02,0.00,
"Microsoft.Quantum.Samples.IntegerFactorization.Shor..ctor",3,0,0.00,0.00,
"Microsoft.Quantum.Samples.IntegerFactorization.Shor.<get_Body>b__19_0","1,49,892",0,39.26,0.00,
"Microsoft.Quantum.Samples.IntegerFactorization.Shor.Run",11,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Common.QubitManager.CreateQubitObject",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope.ReleaseOneQubit",21,0,0.01,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.__Canon,System.__Canon]..ctor",2,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.__Canon,System.__Canon].<get_ControlledBody>b__11_0",479,0,0.13,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.__Canon,System.__Canon].get_ControlledBody",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon]..ctor",3,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]],System.__Canon]..ctor",3,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`2[System.Int64,System.__Canon],System.__Canon]..ctor",2,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`3[Microsoft.Quantum.Simulation.Core.Pauli,System.Double,System.__Canon],System.__Canon]..ctor",2,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon],System.__Canon]..ctor",3,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon],System.__Canon].<get_ControlledBody>b__11_0","64,655",0,16.94,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon],System.__Canon].get_ControlledBody",2,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`4[Microsoft.Quantum.Simulation.Core.Pauli,System.Int64,System.Int64,System.__Canon],System.__Canon]..ctor",2,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon],System.__Canon]..ctor",2,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.GenericOperation..ctor",7,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.GenericOperation.<.ctor>b__3_0",9,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,Microsoft.Quantum.Simulation.Core.Result].Apply",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.Boolean].Apply",2,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.Double]..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.Int64]..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.Int64].Apply",2,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.Int64].Microsoft.Quantum.Simulation.Core.ICallable.Apply",2,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.Double,System.Double].Apply",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.Double,System.Double].Microsoft.Quantum.Simulation.Core.ICallable.Apply",4,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.Double,System.Int64].Apply",2,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.Double,System.Int64].Microsoft.Quantum.Simulation.Core.ICallable.Apply",3,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.Int64,System.Int64].Apply",4,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon]..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].<.ctor>b__2_0",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].<.ctor>b__2_1",4,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable.Apply","1,30,732",0,34.25,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon]],System.__Canon]..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon]],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply","1,41,173",0,36.98,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`2[System.__Canon,System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]]],System.__Canon]..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`2[System.Int64,System.__Canon]],System.__Canon].<.ctor>b__2_0",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`2[System.Int64,System.__Canon]],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable.Apply","1,49,460",0,39.15,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]],System.__Canon]..ctor",2,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]],System.__Canon].<.ctor>b__2_1",3,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon]],System.__Canon].Apply","1,41,911",0,37.17,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon]],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply","1,41,911",0,37.17,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Double,System.__Canon],System.__Canon].Apply",60,0,0.02,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Double,System.__Canon],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply",60,0,0.02,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Double,System.Double],System.Double].Apply",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Double,System.Double],System.Double].Microsoft.Quantum.Simulation.Core.ICallable.Apply",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.__Canon],System.__Canon].<.ctor>b__2_1",3,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Boolean],System.ValueTuple`2[System.Int64,System.Int64]].Apply","1,49,894",0,39.27,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Boolean],System.ValueTuple`2[System.Int64,System.Int64]].Microsoft.Quantum.Simulation.Core.ICallable.Apply","1,49,897",0,39.27,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Int64],System.Boolean].Apply","4,227",0,1.11,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Int64],System.Boolean].Microsoft.Quantum.Simulation.Core.ICallable.Apply","4,228",0,1.11,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.ValueTuple`2[System.Int64,System.Int64],System.Int64],System.ValueTuple`2[System.Int64,System.Int64]].Apply",8,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.ValueTuple`2[System.Int64,System.Int64],System.Int64],System.ValueTuple`2[System.Int64,System.Int64]].Microsoft.Quantum.Simulation.Core.ICallable.Apply",9,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[Microsoft.Quantum.Simulation.Core.Pauli,System.Double,System.__Canon],System.__Canon]..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[Microsoft.Quantum.Simulation.Core.Pauli,System.Double,System.__Canon],System.__Canon].<.ctor>b__2_0",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[Microsoft.Quantum.Simulation.Core.Pauli,System.Double,System.__Canon],System.__Canon].<.ctor>b__2_1",2,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Double,System.Double,System.Double],System.Double].Apply",8,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Double,System.Double,System.Double],System.Double].Microsoft.Quantum.Simulation.Core.ICallable.Apply",9,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Int64,System.__Canon,System.__Canon],System.Double].Apply","1,49,770",0,39.23,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Int64,System.__Canon,System.__Canon],System.Double].Microsoft.Quantum.Simulation.Core.ICallable.Apply","1,49,770",0,39.23,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon],System.__Canon].<.ctor>b__2_1",4,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Int64,System.Int64,System.Boolean],System.Int64].Apply","1,49,832",0,39.25,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Int64,System.Int64,System.Boolean],System.Int64].Microsoft.Quantum.Simulation.Core.ICallable.Apply","1,49,832",0,39.25,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`4[Microsoft.Quantum.Simulation.Core.Pauli,System.Int64,System.Int64,System.__Canon],System.__Canon].<.ctor>b__2_1",3,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`4[System.__Canon,System.__Canon,Microsoft.Quantum.Simulation.Core.Result,System.__Canon],System.__Canon]..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon],System.__Canon].<.ctor>b__2_1",2,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon],System.__Canon].Partial",179,0,0.05,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`4[System.Int64,System.Int64,System.Int64,System.__Canon],System.__Canon].FindPartialType",2,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`4[System.Int64,System.Int64,System.Int64,System.__Canon],System.__Canon].Partial",6,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`5[System.__Canon,System.Int64,System.Double,System.__Canon,System.__Canon],System.__Canon].Apply","1,49,671",0,39.21,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`5[System.__Canon,System.Int64,System.Double,System.__Canon,System.__Canon],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply","1,49,671",0,39.21,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2+<>c[System.ValueTuple`4[System.Int64,System.Int64,System.Int64,System.__Canon],System.__Canon]..cctor",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.PartialApplication`3[System.ValueTuple`2[System.Int64,System.__Canon],System.ValueTuple`4[System.Int64,System.Int64,System.Int64,System.__Canon],System.__Canon]..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.PartialCapturedQubits`2[System.__Canon,System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon]]..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.PartialCapturedQubits`2+<>c__DisplayClass1_0[System.ValueTuple`2[System.Int64,System.__Canon],System.ValueTuple`4[System.Int64,System.Int64,System.Int64,System.__Canon]].<.ctor>b__0",8,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary.Partial",293,0,0.08,0.00,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`4[System.Int64,System.Int64,System.Int64,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary.Partial",10,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.Extensions.InitBuiltinOperations",23,0,0.01,0.00,
"Microsoft.Quantum.Simulation.Simulators.Extensions+<>c__1`1[System.__Canon]..cctor",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator..ctor",39,0,0.01,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimAssert..ctor",2,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimAssertProb..ctor",4,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimM.get_Body",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimM+<>c.<get_Body>b__6_0",34,0,0.01,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR..ctor",3,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR.get_AdjointBody",3,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimrandom.get_Body",2,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimrandom+<>c..cctor",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimX..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QubitManagerBase.ReleaseOneQubit","1,131",0,0.30,0.00,
"Microsoft.Quantum.Simulation.Simulators.SimulatorBase..ctor",29,0,0.01,0.00,
"Microsoft.Quantum.Simulation.Simulators.SimulatorBase.Validate",124,0,0.03,0.00,
"Microsoft.Quantum.Simulation.Simulators.SimulatorBase+<>c..cctor",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.SimulatorBase+<>c__DisplayClass18_0`3[System.__Canon,System.ValueTuple`2[System.Int64,System.Boolean],System.ValueTuple`2[System.Int64,System.Int64]].<Run>b__0",133,0,0.03,0.00,
"Microsoft.Quantum.Simulation.Simulators.SimulatorBase+Message..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.SimulatorBase+Message.<get_Body>b__3_0",1,0,0.00,0.00,
"System.Threading.Tasks.Task.Run",9,0,0.00,0.00,
"System.Threading.Tasks.Task`1[System.ValueTuple`2[System.Int64,System.Int64]].GetResultCore",2,0,0.00,0.00,
"System.Threading.Tasks.Task`1[System.ValueTuple`2[System.Int64,System.Int64]].InnerInvoke","1,50,031",0,39.30,0.00,
"System.Threading.Tasks.Task`1[System.ValueTuple`2[System.Int64,System.Int64]].StartNew",9,0,0.00,0.00,
"System.ValueTuple`2[System.__Canon,System.ValueTuple`2[System.Int64,System.__Canon]]..ctor",2,0,0.00,0.00,
"System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon]..ctor",2,0,0.00,0.00,
