Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType",52,0.01,0x7FFB6FF22FD1,0,0,0,0,
"Microsoft.Quantum.Primitive.RFrac.get_ControlledBody",51,0.01,0x7FFB6FF24EA8,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.Apply",51,0.01,0x7FFB6FF22DCA,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].FindPartialType",51,0.01,0x7FFB6FF2BA6A,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR.<get_ControlledBody>b__11_0",50,0.01,0x7FFB6FF25B70,0,0,0,0,
"[Unknown]",49,0.01,0x7FFB6FDDC128,0,0,0,0,
"Microsoft.Quantum.Primitive.RFrac.<get_ControlledBody>b__15_0",49,0.01,0x7FFB6FF24FEC,0,0,0,0,
"Microsoft.Quantum.Primitive.RFrac.<get_ControlledBody>b__15_0",49,0.01,0x7FFB6FF2504B,0,0,0,0,
"Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope.OnOperationStart",49,0.01,0x7FFB6FF0DB91,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].FindPartialType",49,0.01,0x7FFB6FF2BB97,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.AbstractOperation.get_Factory",48,0.01,0x7FFB6FF0C294,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.CanHaveQubitsSimple",48,0.01,0x7FFB6FF0CBEE,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsTuple",47,0.01,0x7FFB6FF11F2E,0,0,0,0,
"Microsoft.Quantum.Primitive.RFrac.<get_ControlledAdjointBody>b__17_0",46,0.01,0x7FFB700E220B,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.CanHaveQubitsSimple",45,0.01,0x7FFB6FF0CC03,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.SimulatorBase.Get",45,0.01,0x7FFB6FEF8640,0,0,0,0,
"[Unknown]",44,0.01,0x7FFB6FDDD0F8,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType",44,0.01,0x7FFB6FF127B1,0,0,0,0,
"System.Linq.Enumerable.ToArray",44,0.01,0x7FFB6FF273BF,0,0,0,0,
"Microsoft.Quantum.Primitive.CNOT.<get_Body>b__7_0",43,0.01,0x7FFB6FF285F8,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.JoinArrays",42,0.01,0x7FFB6FF16119,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericAdjoint.CreateOperation",42,0.01,0x7FFB700E7CC1,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].FindPartialType",42,0.01,0x7FFB6FF2BCA2,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsTuple",41,0.01,0x7FFB6FF11F21,0,0,0,0,
"Microsoft.Quantum.Primitive.RFrac.<get_ControlledAdjointBody>b__17_0",40,0.01,0x7FFB700E2264,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType",40,0.01,0x7FFB6FF12787,0,0,0,0,
"[KernelBase.dll]",39,0.01,0x7FFC1D5DB14E,0,0,0,0,
"[Microsoft.Quantum.Simulator.Runtime.dll]",39,0.01,0x7FFBF7129CA6,0,0,0,0,
"[Unknown]",39,0.01,0x7FFB6FDDC138,0,0,0,0,
