Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.Double].Microsoft.Quantum.Simulation.Core.ICallable.Apply",75,0.02,182,0.05,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.Extensions.GetIds",75,0.02,658,0.17,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation..ctor",69,0.02,69,0.02,0,0,0,0,
"System.Linq.Enumerable.ToArray",67,0.02,67,0.02,0,0,0,0,
"Microsoft.Quantum.Canon.ApproximateQFT.get_MicrosoftQuantumPrimitiveR1Frac",66,0.02,221,0.06,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.SimulatorBase.EndOperation",62,0.02,376,0.10,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR.get_ControlledBody",61,0.02,61,0.02,0,0,0,0,
"Microsoft.Quantum.Primitive.RFrac.get_ControlledBody",60,0.02,61,0.02,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`3[Microsoft.Quantum.Simulation.Core.Pauli,System.Double,System.__Canon]],System.__Canon].Apply",59,0.02,"47,799",12.52,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.Pow",58,0.02,58,0.02,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimX.<get_ControlledBody>b__9_0",56,0.01,"14,001",3.67,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.AbstractOperation.get_Factory",54,0.01,54,0.01,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Range+<GetEnumerator>d__12.MoveNext",54,0.01,54,0.01,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR.<get_ControlledAdjointBody>b__13_0",52,0.01,"24,065",6.30,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`4[Microsoft.Quantum.Simulation.Core.Pauli,System.Int64,System.Int64,System.__Canon],System.__Canon].get_Body",49,0.01,49,0.01,0,0,0,0,
"Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_ControlledAdjointBody>b__13_0",48,0.01,"13,772",3.61,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.Double].Apply",48,0.01,81,0.02,0,0,0,0,
